iss_date,DATA_DECESSO,DECESSI,,,,,,,
08/06/2021,09/12/2020,688,,,,,,,
08/06/2021,10/12/2020,624,,,,,,,
08/06/2021,11/12/2020,617,,,,,,,
08/06/2021,12/12/2020,583,,,,,,,
08/06/2021,13/12/2020,571,,,,,,,
08/06/2021,14/12/2020,574,,,,,,,
08/06/2021,15/12/2020,580,,,,,,,
08/06/2021,16/12/2020,636,,,,,,,
08/06/2021,17/12/2020,584,,,,,,,
08/06/2021,18/12/2020,559,,,,,,,
08/06/2021,19/12/2020,504,,,,,,,
08/06/2021,20/12/2020,491,,,,,,,
08/06/2021,21/12/2020,505,,,,,,,
08/06/2021,22/12/2020,494,,,,,,,
08/06/2021,23/12/2020,499,,,,,,,
08/06/2021,24/12/2020,491,,,,,,,
08/06/2021,25/12/2020,420,,,,,,,
08/06/2021,26/12/2020,430,,,,,,,
08/06/2021,27/12/2020,419,,,,,,,
08/06/2021,28/12/2020,496,,,,,,,
08/06/2021,29/12/2020,447,,,,,,,
08/06/2021,30/12/2020,478,,,,,,,
08/06/2021,31/12/2020,425,,,,,,,
08/06/2021,01/01/2021,451,,,,,,,
08/06/2021,02/01/2021,428,,,,,,,
08/06/2021,03/01/2021,427,,,,,,,
08/06/2021,04/01/2021,507,,,,,,,
08/06/2021,05/01/2021,499,,,,,,,
08/06/2021,06/01/2021,470,,,,,,,
08/06/2021,07/01/2021,458,,,,,,,
08/06/2021,08/01/2021,445,,,,,,,
08/06/2021,09/01/2021,433,,,,,,,
08/06/2021,10/01/2021,437,,,,,,,
08/06/2021,11/01/2021,474,,,,,,,
08/06/2021,12/01/2021,461,,,,,,,
08/06/2021,13/01/2021,451,,,,,,,
08/06/2021,14/01/2021,421,,,,,,,
08/06/2021,15/01/2021,502,,,,,,,
08/06/2021,16/01/2021,443,,,,,,,
08/06/2021,17/01/2021,441,,,,,,,
08/06/2021,18/01/2021,474,,,,,,,
08/06/2021,19/01/2021,466,,,,,,,
08/06/2021,20/01/2021,438,,,,,,,
08/06/2021,21/01/2021,422,,,,,,,
08/06/2021,22/01/2021,422,,,,,,,
08/06/2021,23/01/2021,405,,,,,,,
08/06/2021,24/01/2021,414,,,,,,,
08/06/2021,25/01/2021,394,,,,,,,
08/06/2021,26/01/2021,433,,,,,,,
08/06/2021,27/01/2021,428,,,,,,,
08/06/2021,28/01/2021,391,,,,,,,
08/06/2021,29/01/2021,356,,,,,,,
08/06/2021,30/01/2021,376,,,,,,,
08/06/2021,31/01/2021,357,,,,,,,
08/06/2021,01/02/2021,349,,,,,,,
08/06/2021,02/02/2021,398,,,,,,,
08/06/2021,03/02/2021,361,,,,,,,
08/06/2021,04/02/2021,332,,,,,,,
08/06/2021,05/02/2021,407,,,,,,,
08/06/2021,06/02/2021,343,,,,,,,
08/06/2021,07/02/2021,295,,,,,,,
08/06/2021,08/02/2021,326,,,,,,,
08/06/2021,09/02/2021,327,,,,,,,
08/06/2021,10/02/2021,287,,,,,,,
08/06/2021,11/02/2021,295,,,,,,,
08/06/2021,12/02/2021,281,,,,,,,
08/06/2021,13/02/2021,250,,,,,,,
08/06/2021,14/02/2021,259,,,,,,,
08/06/2021,15/02/2021,275,,,,,,,
08/06/2021,16/02/2021,280,,,,,,,
08/06/2021,17/02/2021,330,,,,,,,
08/06/2021,18/02/2021,297,,,,,,,
08/06/2021,19/02/2021,287,,,,,,,
08/06/2021,20/02/2021,245,,,,,,,
08/06/2021,21/02/2021,260,,,,,,,
08/06/2021,22/02/2021,286,,,,,,,
08/06/2021,23/02/2021,292,,,,,,,
08/06/2021,24/02/2021,235,,,,,,,
08/06/2021,25/02/2021,248,,,,,,,
08/06/2021,26/02/2021,281,,,,,,,
08/06/2021,27/02/2021,272,,,,,,,
08/06/2021,28/02/2021,237,,,,,,,
08/06/2021,01/03/2021,301,,,,,,,
08/06/2021,02/03/2021,283,,,,,,,
08/06/2021,03/03/2021,317,,,,,,,
08/06/2021,04/03/2021,307,,,,,,,
08/06/2021,05/03/2021,305,,,,,,,
08/06/2021,06/03/2021,282,,,,,,,
08/06/2021,07/03/2021,299,,,,,,,
08/06/2021,08/03/2021,305,,,,,,,
08/06/2021,09/03/2021,312,,,,,,,
08/06/2021,10/03/2021,344,,,,,,,
08/06/2021,11/03/2021,370,,,,,,,
08/06/2021,12/03/2021,388,,,,,,,
08/06/2021,13/03/2021,351,,,,,,,
08/06/2021,14/03/2021,296,,,,,,,
08/06/2021,15/03/2021,363,,,,,,,
08/06/2021,16/03/2021,416,,,,,,,
08/06/2021,17/03/2021,383,,,,,,,
08/06/2021,18/03/2021,403,,,,,,,
08/06/2021,19/03/2021,385,,,,,,,
08/06/2021,20/03/2021,364,,,,,,,
08/06/2021,21/03/2021,392,,,,,,,
08/06/2021,22/03/2021,378,,,,,,,
08/06/2021,23/03/2021,448,,,,,,,
08/06/2021,24/03/2021,434,,,,,,,
08/06/2021,25/03/2021,416,,,,,,,
08/06/2021,26/03/2021,423,,,,,,,
08/06/2021,27/03/2021,360,,,,,,,
08/06/2021,28/03/2021,372,,,,,,,
08/06/2021,29/03/2021,437,,,,,,,
08/06/2021,30/03/2021,403,,,,,,,
08/06/2021,31/03/2021,430,,,,,,,
08/06/2021,01/04/2021,427,,,,,,,
08/06/2021,02/04/2021,430,,,,,,,
08/06/2021,03/04/2021,431,,,,,,,
08/06/2021,04/04/2021,368,,,,,,,
08/06/2021,05/04/2021,391,,,,,,,
08/06/2021,06/04/2021,460,,,,,,,
08/06/2021,07/04/2021,385,,,,,,,
08/06/2021,08/04/2021,415,,,,,,,
08/06/2021,09/04/2021,394,,,,,,,
08/06/2021,10/04/2021,365,,,,,,,
08/06/2021,11/04/2021,366,,,,,,,
08/06/2021,12/04/2021,393,,,,,,,
08/06/2021,13/04/2021,366,,,,,,,
08/06/2021,14/04/2021,328,,,,,,,
08/06/2021,15/04/2021,309,,,,,,,
08/06/2021,16/04/2021,304,,,,,,,
08/06/2021,17/04/2021,323,,,,,,,
08/06/2021,18/04/2021,287,,,,,,,
08/06/2021,19/04/2021,294,,,,,,,
08/06/2021,20/04/2021,300,,,,,,,
08/06/2021,21/04/2021,319,,,,,,,
08/06/2021,22/04/2021,260,,,,,,,
08/06/2021,23/04/2021,305,,,,,,,
08/06/2021,24/04/2021,291,,,,,,,
08/06/2021,25/04/2021,259,,,,,,,
08/06/2021,26/04/2021,283,,,,,,,
08/06/2021,27/04/2021,218,,,,,,,
08/06/2021,28/04/2021,255,,,,,,,
08/06/2021,29/04/2021,227,,,,,,,
