iss_date,DATA_DECESSO,DECESSI
05/02/2021,18/01/2021,418
05/02/2021,19/01/2021,423
05/02/2021,20/01/2021,391
05/02/2021,21/01/2021,359
05/02/2021,22/01/2021,370
05/02/2021,23/01/2021,350
05/02/2021,24/01/2021,370
05/02/2021,25/01/2021,328
05/02/2021,26/01/2021,340
05/02/2021,27/01/2021,357
05/02/2021,28/01/2021,322
05/02/2021,29/01/2021,284
05/02/2021,30/01/2021,281
05/02/2021,31/01/2021,264
05/02/2021,01/02/2021,231
05/02/2021,02/02/2021,242
05/02/2021,03/02/2021,180
05/02/2021,04/02/2021,54
05/02/2021,05/02/2021,5
05/02/2021,,2499720
