DATARICOVERO1,RICOVERI,iss_date
15/10/2020,950,25/08/2022
15/10/2021,173,25/08/2022
15/11/2020,2022,25/08/2022
15/11/2021,392,25/08/2022
15/12/2020,1275,25/08/2022
15/12/2021,687,25/08/2022
16/01/2021,1195,25/08/2022
16/01/2022,1263,25/08/2022
16/02/2021,950,25/08/2022
16/02/2022,790,25/08/2022
16/03/2020,2493,25/08/2022
16/03/2021,2058,25/08/2022
16/03/2022,757,25/08/2022
16/04/2020,727,25/08/2022
16/04/2021,1045,25/08/2022
16/04/2022,691,25/08/2022
16/05/2020,140,25/08/2022
16/05/2021,361,25/08/2022
16/05/2022,489,25/08/2022
16/06/2020,66,25/08/2022
16/06/2021,108,25/08/2022
16/06/2022,472,25/08/2022
16/07/2020,61,25/08/2022
16/07/2021,118,25/08/2022
16/07/2022,826,25/08/2022
16/08/2020,69,25/08/2022
16/08/2021,406,25/08/2022
16/08/2022,445,25/08/2022
16/09/2020,239,25/08/2022
16/09/2021,281,25/08/2022
16/10/2020,975,25/08/2022
16/10/2021,158,25/08/2022
16/11/2020,2493,25/08/2022
16/11/2021,421,25/08/2022
16/12/2020,1258,25/08/2022
16/12/2021,706,25/08/2022
17/01/2021,928,25/08/2022
17/01/2022,1778,25/08/2022
17/02/2021,1024,25/08/2022
17/02/2022,794,25/08/2022
17/03/2020,2667,25/08/2022
17/03/2021,1928,25/08/2022
17/03/2022,766,25/08/2022
17/04/2020,739,25/08/2022
17/04/2021,1006,25/08/2022
17/04/2022,534,25/08/2022
17/05/2020,129,25/08/2022
17/05/2021,472,25/08/2022
17/05/2022,488,25/08/2022
17/06/2020,97,25/08/2022
17/06/2021,90,25/08/2022
17/06/2022,468,25/08/2022
17/07/2020,99,25/08/2022
17/07/2021,120,25/08/2022
17/07/2022,696,25/08/2022
17/08/2020,107,25/08/2022
17/08/2021,346,25/08/2022
17/08/2022,422,25/08/2022
17/09/2020,247,25/08/2022
17/09/2021,263,25/08/2022
17/10/2020,1112,25/08/2022
17/10/2021,141,25/08/2022
17/11/2020,2469,25/08/2022
17/11/2021,398,25/08/2022
17/12/2020,1293,25/08/2022
17/12/2021,750,25/08/2022
18/01/2021,1162,25/08/2022
18/01/2022,1819,25/08/2022
18/02/2021,1051,25/08/2022
18/02/2022,777,25/08/2022
18/03/2020,2709,25/08/2022
18/03/2021,1817,25/08/2022
18/03/2022,712,25/08/2022
18/04/2020,580,25/08/2022
18/04/2021,1005,25/08/2022
18/04/2022,596,25/08/2022
18/05/2020,180,25/08/2022
18/05/2021,383,25/08/2022
18/05/2022,482,25/08/2022
18/06/2020,82,25/08/2022
18/06/2021,93,25/08/2022
18/06/2022,459,25/08/2022
18/07/2020,53,25/08/2022
18/07/2021,116,25/08/2022
18/07/2022,1007,25/08/2022
18/08/2020,119,25/08/2022
18/08/2021,393,25/08/2022
18/08/2022,359,25/08/2022
18/09/2020,245,25/08/2022
18/09/2021,232,25/08/2022
18/10/2020,1038,25/08/2022
18/10/2021,194,25/08/2022
18/11/2020,2322,25/08/2022
18/11/2021,390,25/08/2022
18/12/2020,1268,25/08/2022
18/12/2021,671,25/08/2022
19/01/2021,1077,25/08/2022
19/01/2022,1667,25/08/2022
19/02/2021,1041,25/08/2022
19/02/2022,702,25/08/2022
19/03/2020,2786,25/08/2022
19/03/2021,1881,25/08/2022
19/03/2022,667,25/08/2022
19/04/2020,476,25/08/2022
19/04/2021,1102,25/08/2022
19/04/2022,819,25/08/2022
19/05/2020,164,25/08/2022
19/05/2021,375,25/08/2022
19/05/2022,395,25/08/2022
19/06/2020,100,25/08/2022
19/06/2021,71,25/08/2022
19/06/2022,422,25/08/2022
19/07/2020,39,25/08/2022
19/07/2021,167,25/08/2022
19/07/2022,982,25/08/2022
19/08/2020,146,25/08/2022
19/08/2021,362,25/08/2022
19/08/2022,359,25/08/2022
19/09/2020,188,25/08/2022
19/09/2021,208,25/08/2022
19/10/2020,1316,25/08/2022
19/10/2021,216,25/08/2022
19/11/2020,2311,25/08/2022
19/11/2021,417,25/08/2022
19/12/2020,1209,25/08/2022
19/12/2021,648,25/08/2022
20/01/2021,1079,25/08/2022
20/01/2022,1630,25/08/2022
20/02/2020,91,25/08/2022
20/02/2021,996,25/08/2022
20/02/2022,585,25/08/2022
20/03/2020,2860,25/08/2022
20/03/2021,1818,25/08/2022
20/03/2022,590,25/08/2022
20/04/2020,674,25/08/2022
20/04/2021,1112,25/08/2022
20/04/2022,839,25/08/2022
20/05/2020,150,25/08/2022
20/05/2021,370,25/08/2022
20/05/2022,390,25/08/2022
20/06/2020,38,25/08/2022
20/06/2021,67,25/08/2022
20/06/2022,572,25/08/2022
20/07/2020,93,25/08/2022
20/07/2021,159,25/08/2022
20/07/2022,993,25/08/2022
20/08/2020,90,25/08/2022
20/08/2021,347,25/08/2022
20/08/2022,310,25/08/2022
20/09/2020,167,25/08/2022
20/09/2021,231,25/08/2022
20/10/2020,1418,25/08/2022
20/10/2021,196,25/08/2022
20/11/2020,2216,25/08/2022
20/11/2021,379,25/08/2022
20/12/2020,1049,25/08/2022
20/12/2021,800,25/08/2022
21/01/2021,1141,25/08/2022
21/01/2022,1533,25/08/2022
21/02/2020,123,25/08/2022
21/02/2021,931,25/08/2022
21/02/2022,810,25/08/2022
21/03/2020,2548,25/08/2022
21/03/2021,1646,25/08/2022
21/03/2022,825,25/08/2022
21/04/2020,623,25/08/2022
21/04/2021,1087,25/08/2022
21/04/2022,723,25/08/2022
21/05/2020,133,25/08/2022
21/05/2021,335,25/08/2022
21/05/2022,326,25/08/2022
21/06/2020,51,25/08/2022
21/06/2021,79,25/08/2022
21/06/2022,602,25/08/2022
21/07/2020,87,25/08/2022
21/07/2021,176,25/08/2022
21/07/2022,942,25/08/2022
21/08/2020,101,25/08/2022
21/08/2021,371,25/08/2022
21/08/2022,251,25/08/2022
21/09/2020,268,25/08/2022
21/09/2021,234,25/08/2022
21/10/2020,1425,25/08/2022
21/10/2021,195,25/08/2022
21/11/2020,1827,25/08/2022
21/11/2021,360,25/08/2022
21/12/2020,1255,25/08/2022
21/12/2021,848,25/08/2022
22/01/2021,1066,25/08/2022
22/01/2022,1438,25/08/2022
22/02/2020,108,25/08/2022
22/02/2021,1292,25/08/2022
22/02/2022,705,25/08/2022
22/03/2020,2195,25/08/2022
22/03/2021,1924,25/08/2022
22/03/2022,779,25/08/2022
22/04/2020,622,25/08/2022
22/04/2021,992,25/08/2022
22/04/2022,722,25/08/2022
22/05/2020,141,25/08/2022
22/05/2021,270,25/08/2022
22/05/2022,298,25/08/2022
22/06/2020,108,25/08/2022
22/06/2021,103,25/08/2022
22/06/2022,567,25/08/2022
22/07/2020,78,25/08/2022
22/07/2021,197,25/08/2022
22/07/2022,899,25/08/2022
22/08/2020,123,25/08/2022
22/08/2021,289,25/08/2022
22/08/2022,304,25/08/2022
22/09/2020,265,25/08/2022
22/09/2021,208,25/08/2022
22/10/2020,1529,25/08/2022
22/10/2021,240,25/08/2022
22/11/2020,1607,25/08/2022
22/11/2021,457,25/08/2022
22/12/2020,1292,25/08/2022
22/12/2021,857,25/08/2022
23/01/2021,1000,25/08/2022
23/01/2022,1191,25/08/2022
23/02/2020,151,25/08/2022
23/02/2021,1280,25/08/2022
23/02/2022,710,25/08/2022
23/03/2020,2718,25/08/2022
23/03/2021,1851,25/08/2022
23/03/2022,809,25/08/2022
23/04/2020,604,25/08/2022
23/04/2021,1039,25/08/2022
23/04/2022,619,25/08/2022
23/05/2020,101,25/08/2022
23/05/2021,265,25/08/2022
23/05/2022,402,25/08/2022
23/06/2020,75,25/08/2022
23/06/2021,74,25/08/2022
23/06/2022,635,25/08/2022
23/07/2020,72,25/08/2022
23/07/2021,187,25/08/2022
23/07/2022,737,25/08/2022
23/08/2020,96,25/08/2022
23/08/2021,377,25/08/2022
23/08/2022,191,25/08/2022
23/09/2020,261,25/08/2022
23/09/2021,243,25/08/2022
23/10/2020,1735,25/08/2022
23/10/2021,185,25/08/2022
23/11/2020,2021,25/08/2022
23/11/2021,462,25/08/2022
23/12/2020,1240,25/08/2022
23/12/2021,845,25/08/2022
24/01/2021,861,25/08/2022
24/01/2022,1610,25/08/2022
24/02/2020,191,25/08/2022
24/02/2021,1205,25/08/2022
24/02/2022,614,25/08/2022
24/03/2020,2624,25/08/2022
24/03/2021,1802,25/08/2022
24/03/2022,736,25/08/2022
24/04/2020,568,25/08/2022
24/04/2021,943,25/08/2022
24/04/2022,554,25/08/2022
24/05/2020,99,25/08/2022
24/05/2021,301,25/08/2022
24/05/2022,377,25/08/2022
24/06/2020,98,25/08/2022
24/06/2021,87,25/08/2022
24/06/2022,600,25/08/2022
24/07/2020,73,25/08/2022
24/07/2021,187,25/08/2022
24/07/2022,629,25/08/2022
24/08/2020,136,25/08/2022
24/08/2021,380,25/08/2022
24/08/2022,63,25/08/2022
24/09/2020,257,25/08/2022
24/09/2021,199,25/08/2022
24/10/2020,1578,25/08/2022
24/10/2021,189,25/08/2022
24/11/2020,1955,25/08/2022
24/11/2021,427,25/08/2022
24/12/2020,1261,25/08/2022
24/12/2021,960,25/08/2022
25/01/2021,1173,25/08/2022
25/01/2022,1541,25/08/2022
25/02/2020,267,25/08/2022
25/02/2021,1211,25/08/2022
25/02/2022,604,25/08/2022
25/03/2020,2322,25/08/2022
25/03/2021,1852,25/08/2022
25/03/2022,766,25/08/2022
25/04/2020,432,25/08/2022
25/04/2021,834,25/08/2022
25/04/2022,531,25/08/2022
25/05/2020,164,25/08/2022
25/05/2021,253,25/08/2022
25/05/2022,380,25/08/2022
25/06/2020,76,25/08/2022
25/06/2021,65,25/08/2022
25/06/2022,649,25/08/2022
25/07/2020,64,25/08/2022
25/07/2021,213,25/08/2022
25/07/2022,907,25/08/2022
25/08/2020,154,25/08/2022
25/08/2021,368,25/08/2022
25/08/2022,<5,25/08/2022
25/09/2020,284,25/08/2022
25/09/2021,183,25/08/2022
25/10/2020,1656,25/08/2022
25/10/2021,230,25/08/2022
25/11/2020,1854,25/08/2022
25/11/2021,468,25/08/2022
25/12/2020,993,25/08/2022
25/12/2021,907,25/08/2022
26/01/2021,976,25/08/2022
26/01/2022,1521,25/08/2022
26/02/2020,271,25/08/2022
26/02/2021,1350,25/08/2022
26/02/2022,517,25/08/2022
26/03/2020,2130,25/08/2022
26/03/2021,1903,25/08/2022
26/03/2022,741,25/08/2022
26/04/2020,365,25/08/2022
26/04/2021,996,25/08/2022
26/04/2022,757,25/08/2022
26/05/2020,127,25/08/2022
26/05/2021,292,25/08/2022
26/05/2022,348,25/08/2022
26/06/2020,96,25/08/2022
26/06/2021,68,25/08/2022
26/06/2022,515,25/08/2022
26/07/2020,47,25/08/2022
26/07/2021,212,25/08/2022
26/07/2022,860,25/08/2022
26/08/2020,154,25/08/2022
26/08/2021,409,25/08/2022
26/09/2020,219,25/08/2022
26/09/2021,157,25/08/2022
26/10/2020,2001,25/08/2022
26/10/2021,222,25/08/2022
26/11/2020,1777,25/08/2022
26/11/2021,492,25/08/2022
26/12/2020,1149,25/08/2022
26/12/2021,924,25/08/2022
27/01/2021,927,25/08/2022
27/01/2022,1456,25/08/2022
27/02/2020,315,25/08/2022
27/02/2021,1332,25/08/2022
27/02/2022,430,25/08/2022
27/03/2020,2246,25/08/2022
27/03/2021,1696,25/08/2022
27/03/2022,636,25/08/2022
27/04/2020,457,25/08/2022
27/04/2021,928,25/08/2022
27/04/2022,745,25/08/2022
27/05/2020,122,25/08/2022
27/05/2021,225,25/08/2022
27/05/2022,319,25/08/2022
27/06/2020,46,25/08/2022
27/06/2021,56,25/08/2022
27/06/2022,777,25/08/2022
27/07/2020,77,25/08/2022
27/07/2021,209,25/08/2022
27/07/2022,802,25/08/2022
27/08/2020,152,25/08/2022
27/08/2021,380,25/08/2022
27/09/2020,195,25/08/2022
27/09/2021,223,25/08/2022
27/10/2020,1964,25/08/2022
27/10/2021,264,25/08/2022
27/11/2020,1782,25/08/2022
27/11/2021,443,25/08/2022
27/12/2020,1202,25/08/2022
27/12/2021,1214,25/08/2022
28/01/2021,981,25/08/2022
28/01/2022,1398,25/08/2022
28/02/2020,379,25/08/2022
28/02/2021,1166,25/08/2022
28/02/2022,618,25/08/2022
28/03/2020,1753,25/08/2022
28/03/2021,1402,25/08/2022
28/03/2022,851,25/08/2022
28/04/2020,454,25/08/2022
28/04/2021,967,25/08/2022
28/04/2022,703,25/08/2022
28/05/2020,87,25/08/2022
28/05/2021,271,25/08/2022
28/05/2022,285,25/08/2022
28/06/2020,36,25/08/2022
28/06/2021,77,25/08/2022
28/06/2022,743,25/08/2022
28/07/2020,69,25/08/2022
28/07/2021,225,25/08/2022
28/07/2022,738,25/08/2022
28/08/2020,150,25/08/2022
28/08/2021,366,25/08/2022
28/09/2020,287,25/08/2022
28/09/2021,188,25/08/2022
28/10/2020,2016,25/08/2022
28/10/2021,239,25/08/2022
28/11/2020,1611,25/08/2022
28/11/2021,386,25/08/2022
28/12/2020,1362,25/08/2022
28/12/2021,1252,25/08/2022
29/01/2021,1027,25/08/2022
29/01/2022,1277,25/08/2022
29/02/2020,374,25/08/2022
29/03/2020,1441,25/08/2022
29/03/2021,1854,25/08/2022
29/03/2022,887,25/08/2022
29/04/2020,422,25/08/2022
29/04/2021,847,25/08/2022
