DATA_DECESSO,DECESSI,iss_date
22/07/2020,16,25/08/2022
22/07/2021,13,25/08/2022
22/07/2022,130,25/08/2022
22/08/2020,6,25/08/2022
22/08/2021,49,25/08/2022
22/08/2022,58,25/08/2022
22/09/2020,13,25/08/2022
22/09/2021,50,25/08/2022
22/10/2020,160,25/08/2022
22/10/2021,41,25/08/2022
22/11/2020,729,25/08/2022
22/11/2021,65,25/08/2022
22/12/2020,500,25/08/2022
22/12/2021,154,25/08/2022
23/01/2021,409,25/08/2022
23/01/2022,321,25/08/2022
23/02/2020,<5,25/08/2022
23/02/2021,327,25/08/2022
23/02/2022,200,25/08/2022
23/03/2020,855,25/08/2022
23/03/2021,468,25/08/2022
23/03/2022,135,25/08/2022
23/04/2020,356,25/08/2022
23/04/2021,330,25/08/2022
23/04/2022,103,25/08/2022
23/05/2020,95,25/08/2022
23/05/2021,92,25/08/2022
23/05/2022,71,25/08/2022
23/06/2020,50,25/08/2022
23/06/2021,24,25/08/2022
23/06/2022,49,25/08/2022
23/07/2020,<5,25/08/2022
23/07/2021,7,25/08/2022
23/07/2022,164,25/08/2022
23/08/2020,<5,25/08/2022
23/08/2021,43,25/08/2022
23/08/2022,30,25/08/2022
23/09/2020,26,25/08/2022
23/09/2021,55,25/08/2022
23/10/2020,176,25/08/2022
23/10/2021,19,25/08/2022
23/11/2020,764,25/08/2022
23/11/2021,83,25/08/2022
23/12/2020,503,25/08/2022
23/12/2021,136,25/08/2022
24/01/2021,414,25/08/2022
24/01/2022,423,25/08/2022
24/02/2020,5,25/08/2022
24/02/2021,244,25/08/2022
24/02/2022,200,25/08/2022
24/03/2020,811,25/08/2022
24/03/2021,449,25/08/2022
24/03/2022,120,25/08/2022
24/04/2020,386,25/08/2022
24/04/2021,313,25/08/2022
24/04/2022,119,25/08/2022
24/05/2020,85,25/08/2022
24/05/2021,95,25/08/2022
24/05/2022,87,25/08/2022
24/06/2020,24,25/08/2022
24/06/2021,21,25/08/2022
24/06/2022,52,25/08/2022
24/07/2020,8,25/08/2022
24/07/2021,9,25/08/2022
24/07/2022,138,25/08/2022
24/08/2020,7,25/08/2022
24/08/2021,49,25/08/2022
24/08/2022,11,25/08/2022
24/09/2020,21,25/08/2022
24/09/2021,39,25/08/2022
24/10/2020,208,25/08/2022
24/10/2021,39,25/08/2022
24/11/2020,769,25/08/2022
24/11/2021,61,25/08/2022
24/12/2020,488,25/08/2022
24/12/2021,149,25/08/2022
25/01/2021,395,25/08/2022
25/01/2022,357,25/08/2022
25/02/2020,10,25/08/2022
25/02/2021,272,25/08/2022
25/02/2022,188,25/08/2022
25/03/2020,864,25/08/2022
25/03/2021,434,25/08/2022
25/03/2022,117,25/08/2022
25/04/2020,357,25/08/2022
25/04/2021,284,25/08/2022
25/04/2022,138,25/08/2022
25/05/2020,75,25/08/2022
25/05/2021,92,25/08/2022
25/05/2022,71,25/08/2022
25/06/2020,26,25/08/2022
25/06/2021,11,25/08/2022
25/06/2022,53,25/08/2022
25/07/2020,5,25/08/2022
25/07/2021,8,25/08/2022
25/07/2022,158,25/08/2022
25/08/2020,6,25/08/2022
25/08/2021,55,25/08/2022
25/08/2022,<5,25/08/2022
25/09/2020,29,25/08/2022
25/09/2021,42,25/08/2022
25/10/2020,197,25/08/2022
25/10/2021,37,25/08/2022
25/11/2020,825,25/08/2022
25/11/2021,65,25/08/2022
25/12/2020,424,25/08/2022
25/12/2021,146,25/08/2022
26/01/2021,442,25/08/2022
26/01/2022,360,25/08/2022
26/02/2020,6,25/08/2022
26/02/2021,288,25/08/2022
26/02/2022,177,25/08/2022
26/03/2020,833,25/08/2022
26/03/2021,442,25/08/2022
26/03/2022,125,25/08/2022
26/04/2020,320,25/08/2022
26/04/2021,316,25/08/2022
26/04/2022,133,25/08/2022
26/05/2020,60,25/08/2022
26/05/2021,87,25/08/2022
26/05/2022,75,25/08/2022
26/06/2020,20,25/08/2022
26/06/2021,21,25/08/2022
26/06/2022,49,25/08/2022
26/07/2020,5,25/08/2022
26/07/2021,13,25/08/2022
26/07/2022,145,25/08/2022
26/08/2020,10,25/08/2022
26/08/2021,39,25/08/2022
26/09/2020,19,25/08/2022
26/09/2021,38,25/08/2022
26/10/2020,248,25/08/2022
26/10/2021,44,25/08/2022
26/11/2020,735,25/08/2022
26/11/2021,89,25/08/2022
26/12/2020,434,25/08/2022
26/12/2021,148,25/08/2022
27/01/2021,434,25/08/2022
27/01/2022,368,25/08/2022
27/02/2020,9,25/08/2022
27/02/2021,281,25/08/2022
27/02/2022,149,25/08/2022
27/03/2020,875,25/08/2022
27/03/2021,376,25/08/2022
27/03/2022,132,25/08/2022
27/04/2020,330,25/08/2022
27/04/2021,241,25/08/2022
27/04/2022,128,25/08/2022
27/05/2020,50,25/08/2022
27/05/2021,92,25/08/2022
27/05/2022,45,25/08/2022
27/06/2020,24,25/08/2022
27/06/2021,12,25/08/2022
27/06/2022,58,25/08/2022
27/07/2020,16,25/08/2022
27/07/2021,16,25/08/2022
27/07/2022,176,25/08/2022
27/08/2020,6,25/08/2022
27/08/2021,60,25/08/2022
27/09/2020,25,25/08/2022
27/09/2021,45,25/08/2022
27/10/2020,237,25/08/2022
27/10/2021,36,25/08/2022
27/11/2020,775,25/08/2022
27/11/2021,78,25/08/2022
27/12/2020,421,25/08/2022
27/12/2021,173,25/08/2022
28/01/2021,393,25/08/2022
28/01/2022,376,25/08/2022
28/02/2020,11,25/08/2022
28/02/2021,241,25/08/2022
28/02/2022,177,25/08/2022
28/03/2020,920,25/08/2022
28/03/2021,387,25/08/2022
28/03/2022,138,25/08/2022
28/04/2020,314,25/08/2022
28/04/2021,285,25/08/2022
28/04/2022,125,25/08/2022
28/05/2020,70,25/08/2022
28/05/2021,78,25/08/2022
28/05/2022,57,25/08/2022
28/06/2020,13,25/08/2022
28/06/2021,19,25/08/2022
28/06/2022,66,25/08/2022
28/07/2020,8,25/08/2022
28/07/2021,6,25/08/2022
28/07/2022,123,25/08/2022
28/08/2021,50,25/08/2022
28/09/2020,21,25/08/2022
28/09/2021,42,25/08/2022
28/10/2020,303,25/08/2022
28/10/2021,29,25/08/2022
28/11/2020,730,25/08/2022
28/11/2021,71,25/08/2022
28/12/2020,505,25/08/2022
28/12/2021,142,25/08/2022
29/01/2021,357,25/08/2022
29/01/2022,346,25/08/2022
29/02/2020,15,25/08/2022
29/03/2020,765,25/08/2022
29/03/2021,456,25/08/2022
29/03/2022,135,25/08/2022
29/04/2020,300,25/08/2022
29/04/2021,243,25/08/2022
29/04/2022,130,25/08/2022
29/05/2020,61,25/08/2022
29/05/2021,72,25/08/2022
29/05/2022,43,25/08/2022
29/06/2020,18,25/08/2022
29/06/2021,15,25/08/2022
29/06/2022,65,25/08/2022
29/07/2020,7,25/08/2022
29/07/2021,15,25/08/2022
29/07/2022,127,25/08/2022
29/08/2020,<5,25/08/2022
29/08/2021,65,25/08/2022
29/09/2020,25,25/08/2022
29/09/2021,45,25/08/2022
29/10/2020,298,25/08/2022
