DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
14/07/2020,243,25/08/2022
14/07/2021,2637,25/08/2022
14/07/2022,95565,25/08/2022
14/08/2020,634,25/08/2022
14/08/2021,5189,25/08/2022
14/08/2022,9604,25/08/2022
14/09/2020,1669,25/08/2022
14/09/2021,5206,25/08/2022
14/10/2020,11497,25/08/2022
14/10/2021,2787,25/08/2022
14/11/2020,29141,25/08/2022
14/11/2021,3572,25/08/2022
14/12/2020,18197,25/08/2022
14/12/2021,26584,25/08/2022
15/01/2021,14415,25/08/2022
15/01/2022,145640,25/08/2022
15/02/2021,13028,25/08/2022
15/02/2022,56638,25/08/2022
15/03/2020,2848,25/08/2022
15/03/2021,24492,25/08/2022
15/03/2022,75770,25/08/2022
15/04/2020,3947,25/08/2022
15/04/2021,15021,25/08/2022
15/04/2022,64298,25/08/2022
15/05/2020,791,25/08/2022
15/05/2021,5051,25/08/2022
15/05/2022,11700,25/08/2022
15/06/2020,276,25/08/2022
15/06/2021,1333,25/08/2022
15/06/2022,37912,25/08/2022
15/07/2020,240,25/08/2022
15/07/2021,3204,25/08/2022
15/07/2022,91094,25/08/2022
15/08/2020,324,25/08/2022
15/08/2021,2373,25/08/2022
15/08/2022,8188,25/08/2022
15/09/2020,1829,25/08/2022
15/09/2021,4868,25/08/2022
15/10/2020,12232,25/08/2022
15/10/2021,2989,25/08/2022
15/11/2020,14587,25/08/2022
15/11/2021,10319,25/08/2022
15/12/2020,18617,25/08/2022
15/12/2021,26820,25/08/2022
16/01/2021,10942,25/08/2022
16/01/2022,64831,25/08/2022
16/02/2021,14148,25/08/2022
16/02/2022,57584,25/08/2022
16/03/2020,4816,25/08/2022
16/03/2021,26016,25/08/2022
16/03/2022,83662,25/08/2022
16/04/2020,3704,25/08/2022
16/04/2021,15138,25/08/2022
16/04/2022,53479,25/08/2022
16/05/2020,606,25/08/2022
16/05/2021,2171,25/08/2022
16/05/2022,47872,25/08/2022
16/06/2020,280,25/08/2022
16/06/2021,1232,25/08/2022
16/06/2022,37717,25/08/2022
16/07/2020,264,25/08/2022
16/07/2021,3716,25/08/2022
16/07/2022,69129,25/08/2022
16/08/2020,299,25/08/2022
16/08/2021,6758,25/08/2022
16/08/2022,38005,25/08/2022
16/09/2020,1615,25/08/2022
16/09/2021,4296,25/08/2022
16/10/2020,13814,25/08/2022
16/10/2021,2396,25/08/2022
16/11/2020,36691,25/08/2022
16/11/2021,11409,25/08/2022
16/12/2020,17033,25/08/2022
16/12/2021,27470,25/08/2022
17/01/2021,5029,25/08/2022
17/01/2022,240009,25/08/2022
17/02/2021,14123,25/08/2022
17/02/2022,52214,25/08/2022
17/03/2020,5346,25/08/2022
17/03/2021,24914,25/08/2022
17/03/2022,79071,25/08/2022
17/04/2020,3498,25/08/2022
17/04/2021,11467,25/08/2022
